"Location,""White"",""Black"",""Hispanic"",""Asian/Native Hawaiian and Pacific Islander"",""American Indian/Alaska Native"",""Multiple Races"",""Total"",Footnotes"
"United States,""0.090"",""0.212"",""0.172"",""0.097"",""0.242"",""0.149"",""0.123"",""1"""
"Alabama,""0.115"",""0.236"",""0.244"",""0.107"",""0.156"",""0.186"",""0.154"""
"Alaska,""0.069"",""N/A"",""0.149"",""N/A"",""0.240"",""0.069"",""0.107"""
"Arizona,""0.092"",""0.175"",""0.182"",""0.115"",""0.290"",""0.153"",""0.134"""
"Arkansas,""0.134"",""0.289"",""0.201"",""0.125"",""0.155"",""0.227"",""0.165"""
"California,""0.084"",""0.193"",""0.150"",""0.090"",""0.203"",""0.107"",""0.118"""
"Colorado,""0.070"",""0.197"",""0.143"",""0.082"",""0.181"",""0.143"",""0.094"""
"Connecticut,""0.058"",""0.184"",""0.220"",""0.088"",""N/A"",""0.138"",""0.102"""
"Delaware,""0.073"",""0.173"",""0.211"",""0.084"",""N/A"",""N/A"",""0.109"""
"District of Columbia,""0.051"",""0.234"",""0.089"",""0.126"",""N/A"",""N/A"",""0.143"""
"Florida,""0.092"",""0.198"",""0.157"",""0.102"",""0.139"",""0.147"",""0.127"""
"Georgia,""0.091"",""0.191"",""0.197"",""0.096"",""0.232"",""0.144"",""0.134"""
"Hawaii,""0.101"",""N/A"",""0.137"",""0.091"",""0.553"",""0.088"",""0.098"""
"Idaho,""0.096"",""N/A"",""0.186"",""0.199"",""0.274"",""0.108"",""0.111"""
"Illinois,""0.079"",""0.241"",""0.136"",""0.102"",""0.209"",""0.126"",""0.114"""
"Indiana,""0.100"",""0.250"",""0.153"",""0.133"",""0.184"",""0.231"",""0.122"""
"Iowa,""0.099"",""0.305"",""0.184"",""0.117"",""0.391"",""0.144"",""0.114"""
"Kansas,""0.089"",""0.208"",""0.208"",""0.127"",""0.222"",""0.179"",""0.115"""
"Kentucky,""0.150"",""0.236"",""0.211"",""0.126"",""N/A"",""0.244"",""0.161"""
"Louisiana,""0.125"",""0.294"",""0.253"",""0.110"",""0.188"",""0.226"",""0.187"""
"Maine,""0.102"",""0.291"",""0.092"",""N/A"",""0.151"",""0.150"",""0.106"""
"Maryland,""0.062"",""0.128"",""0.116"",""0.081"",""0.180"",""0.124"",""0.091"""
"Massachusetts,""0.065"",""0.178"",""0.192"",""0.107"",""0.365"",""0.134"",""0.094"""
"Michigan,""0.099"",""0.267"",""0.198"",""0.104"",""0.219"",""0.235"",""0.131"""
"Minnesota,""0.066"",""0.269"",""0.148"",""0.094"",""0.355"",""0.138"",""0.090"""
"Mississippi,""0.117"",""0.305"",""0.308"",""0.110"",""0.362"",""0.205"",""0.196"""
"Missouri,""0.110"",""0.200"",""0.177"",""0.136"",""0.252"",""0.184"",""0.126"""
"Montana,""0.109"",""N/A"",""0.227"",""N/A"",""0.338"",""0.227"",""0.131"""
"Nebraska,""0.081"",""0.146"",""0.198"",""0.151"",""0.214"",""0.189"",""0.103"""
"Nevada,""0.099"",""0.212"",""0.168"",""0.099"",""0.145"",""0.114"",""0.130"""
"New Hampshire,""0.073"",""N/A"",""0.109"",""N/A"",""N/A"",""0.082"",""0.075"""
"New Jersey,""0.056"",""0.163"",""0.157"",""0.058"",""N/A"",""0.100"",""0.092"""
"New Mexico,""0.114"",""0.221"",""0.208"",""0.128"",""0.272"",""0.174"",""0.177"""
"New York,""0.091"",""0.191"",""0.185"",""0.134"",""0.258"",""0.163"",""0.129"""
"North Carolina,""0.095"",""0.211"",""0.216"",""0.079"",""0.268"",""0.204"",""0.135"""
"North Dakota,""0.083"",""N/A"",""0.157"",""N/A"",""0.380"",""N/A"",""0.110"""
"Ohio,""0.100"",""0.270"",""0.237"",""0.098"",""0.211"",""0.244"",""0.130"""
"Oklahoma,""0.124"",""0.282"",""0.221"",""0.150"",""0.194"",""0.168"",""0.155"""
"Oregon,""0.101"",""0.273"",""0.161"",""0.118"",""0.185"",""0.144"",""0.115"""
"Pennsylvania,""0.087"",""0.246"",""0.271"",""0.127"",""0.322"",""0.181"",""0.121"""
"Rhode Island,""0.071"",""0.243"",""0.219"",""0.062"",""N/A"",""0.127"",""0.107"""
"South Carolina,""0.092"",""0.232"",""0.213"",""0.090"",""0.210"",""0.166"",""0.138"""
"South Dakota,""0.077"",""N/A"",""N/A"",""N/A"",""0.427"",""N/A"",""0.110"""
"Tennessee,""0.112"",""0.213"",""0.249"",""0.072"",""0.281"",""0.232"",""0.139"""
"Texas,""0.079"",""0.184"",""0.187"",""0.092"",""0.120"",""0.118"",""0.136"""
"Utah,""0.074"",""0.438"",""0.158"",""0.122"",""0.234"",""0.123"",""0.094"""
"Vermont,""0.098"",""0.362"",""0.118"",""N/A"",""N/A"",""N/A"",""0.102"""
"Virginia,""0.077"",""0.161"",""0.125"",""0.070"",""N/A"",""0.136"",""0.099"""
"Washington,""0.081"",""0.157"",""0.163"",""0.082"",""0.189"",""0.101"",""0.097"""
"West Virginia,""0.150"",""0.274"",""0.192"",""N/A"",""N/A"",""0.310"",""0.158"""
"Wisconsin,""0.075"",""0.245"",""0.194"",""0.107"",""0.236"",""0.153"",""0.097"""
"Wyoming,""0.088"",""N/A"",""0.145"",""N/A"",""0.151"",""0.196"",""0.099"""
"Puerto Rico,""0.333"",""N/A"",""0.436"",""N/A"",""N/A"",""0.579"",""0.435"""
